12500
0000000069785465|000409735520|OlxQOw3QJG|04
0000000091007517|000618137930|3yHjJeN|89
0000000009735520|001469881453|Gr2doAsHaOs|58
0000000052591992|001797822256|AoSEOlZ|27
0000000047945410|000118931138|7QPa2|33
0000000047998108|001595928429|SnA4utToqIdDl|30
0000000065788971|000962271896|oGZMKFqSQ8xg|58
0000000029125967|000088703760|PbDA7|19
0000000056650761|000742990442|zXWDAY|94
0000000069881453|000418590548|n2WQ7oq|30
0000000044205912|001463878255|UI2LdPSQJswxU|13
0000000009273740|001484354990|M2V7NHQ5iDRHG|83
0000000035022454|001783715790|Qw5OtL|56
0000000003743302|001667024832|s9b4bp4yLlgYl|83
0000000035203280|000948024287|wyE49xtbraI8p|90
0000000075823068|001597570742|hpRLMgs|26
0000000018931138|000929606654|DwtjdhrdUS|56
0000000090721476|000575230540|LGmUAQXWuzVd4|74
0000000086701850|002124186907|IgVyYFHgH|29
0000000041423481|001734418029|kuOxcm|29
0000000098355173|001137716366|8ueYLBiDaKkR|56
0000000006730259|001716719541|YPXbiq7ft|34
0000000085059110|002049244387|diqmZJKU3p0|58
0000000062271896|001537823523|eCI4GHlVtl|15
0000000001174052|000955939413|Xxe9iI|06
0000000000132164|001737069778|xnApk7N|47
0000000004337375|000094043925|7nhhS|60
0000000090443302|000770793980|tKMH4QDlSRcT|28
0000000032239129|002082063338|hu1rIYPLSgU|03
0000000050624121|001439805982|wVgke|79
0000000042990442|001817869215|83Su6SY2|36
0000000056329665|001176400487|JJ8JR9WI|62
0000000017891228|000913646005|ZQpe9|05
0000000052631670|001419751845|hfyMT0jp6rG|48
0000000094912664|001434161720|8Sluim|74
0000000009833489|001518071891|OBHTq|14
0000000057156777|001069649181|BXoKM|41
0000000063878255|000438697419|A847YQLBeWqLh|53
0000000061245866|001527162839|idXdAmbhUB|15
0000000065628552|001412571933|o5v8hhGqzi3a|19
0000000084591983|000995014664|lNMBNO01R|90
0000000036789731|002138176162|QDVmC|26
0000000010939360|002019177756|ptqiJpodNW|03
0000000075817271|001288162290|kkVImA48|60
0000000083715790|001191904060|yGAQifWyW|10
0000000087433947|000144284797|Zby9D|02
0000000053494966|001933701734|LIL0DSq1dTz9W|49
0000000040731054|002038641311|s7Os8QaNE3|32
0000000014692662|000161043778|Lj1wcSV|95
0000000023803491|001567106658|DnXMJl|83
0000000049457302|000628731595|mhaBGtG|04
0000000048024287|001264216588|00NfJ6XaQa7k|16
0000000056603464|000417572024|2B9Ntv7Pfzm|39
0000000042492638|001312082851|qRygcUYWrV|50
0000000075434042|000358423146|L7h6CI0lv89DA|42
0000000083422353|000742940711|Qu12fQfQ|71
0000000011677281|001329533864|OO482J|79
0000000087598610|000807545746|Rpx1H|41
0000000029606654|001495101511|jO0Ca|53
0000000036931105|001689411012|us5ghr|97
0000000060891874|001477611804|mSnCyBiZNl|24
0000000013368236|000500738416|SKdLtkdVZO1|40
0000000075790633|001298303542|j6VhTsqsB7|16
0000000001923141|001853918271|ivrtkzR1PRGCS|59
0000000040768905|001185880593|Fxgj4t9O|10
0000000024186907|000802927433|JKWXZ1RnWSBEc|21
0000000050445834|002004820988|ugYzZbfqK|07
0000000069753371|002059881121|Rd3izawj2|80
0000000043905012|001685582372|7Xy14d|29
0000000020789025|001693598343|dkvD87hqdUXP|04
0000000038783146|000145867044|2zQsMQ|03
0000000078523623|000221881363|8ahYJqcc|68
0000000037716366|001218658491|B1vNsNi7P3Hx|74
0000000082730116|000012068417|vYXNnhPdXU|91
0000000067440461|000098959010|loPY8sTM|45
0000000056809049|001388166704|a9FNUitNsO|41
0000000062528142|001785435433|7jnONh0o6e|32
0000000023747106|001548829324|OTU4ij|57
0000000079943361|000277716849|vo8LWm75Ii9|41
0000000049244387|001240174802|EtI1RPX2QGHo6|23
0000000066096485|001286270379|YI21Tr4N5c|96
0000000046907070|000704625064|7nt6ILX|20
0000000013169963|001526834511|GoM5phpP|23
0000000034259416|001273517063|sYaDJhS|39
0000000035911393|001012397985|62SlulrQdl|67
0000000096286507|001418722362|SBubUgoMBn|67
0000000055939413|000075589825|ZxBRnfzUi|84
0000000015049552|000658944982|abm4NKHgTEj|73
0000000096817915|001685026197|UonyfndBEDz|90
0000000006155084|001608937898|a3a4sSfLZ|78
0000000039061528|001985030857|wvaVwv5x08|70
0000000003324451|001807059150|NEzPODy10f|70
0000000054988238|000405070212|27qxf|21
0000000094043925|001424770644|ijwCDVe|83
0000000095802462|000302035500|p1mgeC30iy5|95
0000000005345724|000387943832|kLcsyvrTLx|16
0000000038017293|001480082412|xlAdPWlkB|80
0000000013063156|000082358005|iuDZ9sMRoA4M8|75
0000000096848189|001583588220|AN8alkIRnGVe|20
0000000026989387|000110984580|C1oDBSb62NV6|26
0000000082063338|002086980298|qSyf46eaHlh|48
0000000046529280|000357779123|JVnolZNO5Zi|41
0000000088728676|001140508005|CPf55tOUPLT|36
0000000098923518|000826296353|ZXJZaUs2a9|82
0000000073405078|001731547314|VqRYWrDNp2|00
0000000091675572|001813237050|Pn7A429YQRg|15
0000000044152875|000264434673|upULh7ZY6|42
0000000017869215|001514165243|hcPpxR|36
0000000048808270|001593967858|YdkxhRU6kWT|04
0000000099850585|000296001670|sWeoOxZzbg|77
0000000059240372|002070167732|9NFSOb|87
0000000028530727|000969703046|4kSL4EjxehJ6|17
0000000021537108|001376726395|uic4A|60
0000000079656771|001900797972|iDK7EG|93
0000000013646005|000201892551|6uUtokb|85
0000000081992067|001242015565|pKNAIHWEk0S57|64
0000000056028870|001262383545|HSntKBM|24
0000000018296665|000837534677|q8LVukSV|45
0000000078457098|000957323729|SQ8LIEpJdWkb|06
0000000097468335|000910158807|N7o3cZNBBHj0|73
0000000082999454|001652595071|nx0XR7y4pu|64
0000000034161720|001875067724|sTN9yW|12
0000000048828660|000970125729|EIGdx|44
0000000066560846|001289786352|6iarK5|81
0000000088613539|001993986047|LjRu6n5C7|91
0000000028545677|000683233292|iVJT4L80b|13
0000000074907643|000015246992|wbZNzVyJVKMO|47
0000000005033981|001904958312|Bs5Lr|10
0000000069649181|001487423024|zKAkeO5CofxC|30
0000000068561380|000671454541|XsHhLNjRij2HI|55
0000000099078259|000401190617|yjVXXvZCSqud5|97
0000000004950674|001300554522|XG9NVt7EslG|19
0000000076160982|000759145032|mGAPxBPMduJW|95
0000000052108299|001463668566|jbhySWm|39
0000000005562353|002045858829|KMSX94K7|05
0000000027162839|000943438955|U7nBR2LuzSaI|29
0000000097014124|001202098739|9j4Hkt|04
0000000036820323|001778487385|QORtgH|48
0000000027008404|001008522808|0phPD|33
0000000064760346|000957597056|TBvng3aSSs|28
0000000098566219|002120944569|51ARJnfLQQH|73
0000000038329928|000560071655|6VWhm0rQ0Tn4p|29
0000000095014664|000133330988|p12BHpsBER|59
0000000055855220|000343507737|ZbfDkA7jIcELw|47
0000000052849830|001404178645|iNw9NlmPGY|09
0000000059471761|000967660765|2ZYtMORstTVNR|62
0000000035405836|000676974997|O5Dni|77
0000000013154137|001977119252|E65BcTeZQNP|30
0000000095645378|000903257136|aqCl6a|00
0000000019177756|000657378889|8WGI5b8pG|98
0000000015817019|001160736977|HFre1yiG2qil|62
0000000057114280|001307662513|6uuFW5J7hXd|42
0000000085637486|000133477865|bWoQ5FV|90
0000000060962623|002001570702|GaLxXlPgF6Z|64
0000000075684716|001077499013|aSdvyiDAck|32
0000000049478092|001155502103|tpSPB7|78
0000000091904060|002084490688|R6bjrMe|04
0000000070368259|000901148864|P71wUFChGD5A7|83
0000000071150242|000985695322|3g6GsDA|49
0000000040907399|000274672442|MZFi2JDpz|97
0000000085545716|001328402675|2nIZRPrf0rnZx|12
0000000027493261|000050834682|GNXJRnETK|99
0000000099514046|000225647802|mHVH1J|77
0000000033701734|000525558730|WWdYQJyY6|87
0000000040727463|001612809044|hYA9xGxzsHXHW|95
0000000058354887|001078535582|EopBrC0|10
